measure,year,val
mortlo,2011,27
mortlo,2012,25
mortlo,2013,24
mortlo,2014,22
mortlo,2015,21
mortlo,2016,20
mortlo,2017,19
mortlo,2018,18
mortlo,2019,17
mortlo,2020,17.60088
mortlo,2021,18.482401
mortlo,2022,17.024281
mortlo,2023,16.178221
mort,2011,36
mort,2012,34
mort,2013,32
mort,2014,30
mort,2015,28
mort,2016,27
mort,2017,25
mort,2018,24
mort,2019,23
mort,2020,23.947809
mort,2021,24.65029
mort,2022,22.74267
mort,2023,21.890551
morthi,2011,46
morthi,2012,43
morthi,2013,41
morthi,2014,38
morthi,2015,36
morthi,2016,34
morthi,2017,33
morthi,2018,31
morthi,2019,30
morthi,2020,32.002701
morthi,2021,33.408291
morthi,2022,30.617319
morthi,2023,29.743589
